WINNER,CRIMINALCASES,AGE,ASSETS,LIABILITIES,GENERAL VOTES,POSTAL VOTES,TOTAL VOTES,"OVER TOTAL ELECTORS 
IN CONSTITUENCY","OVER TOTAL VOTES POLLED 
IN CONSTITUENCY",TOTAL ELECTORS,STATE,CONSTITUENCY,NAME,PARTY,SYMBOL,GENDER,CATEGORY,EDUCATION
0,0.0,43.0,11919500,3257200.0,47574,145.0,47719,3.263404379,4.46387896,1462246.0,Tamil Nadu,ERODE,SARAVANAKUMAR A,MNM,Battery Torch,MALE,GENERAL,Illiterate
0,2.0,43.0,10895377,0.0,38849,161.0,39010,2.66781376,3.649194623,1462246.0,Tamil Nadu,ERODE,SEETHALAKSHMI M K,NTK,Ganna Kisan,FEMALE,GENERAL,Post Graduate/Doctorate
0,0.0,41.0,27500000,7900000.0,25818,40.0,25858,1.768375499,2.418889376,1462246.0,Tamil Nadu,ERODE,SENTHILKUMAR K C,IND,Gift Pack,MALE,GENERAL,Graduate
1,0.0,58.0,219403654,15244926.875,544267,1081.0,545348,33.63656829999999,54.51561051,1621295.0,Uttar Pradesh,ETAH,Rajveer Singh (Raju Bhaiya),BJP,Lotus,MALE,GENERAL,Graduate
0,0.0,70.0,219403654,15244926.875,422054,624.0,422678,26.07039435,42.25292697,1621295.0,Uttar Pradesh,ETAH,Ku. Devendra Singh Yadav,SP,Bicycle,MALE,GENERAL,Post Graduate/Doctorate
0,2.5,54.0,15154538,7304616.0,519674,2445.0,522119,29.69987213,50.74974898,1757984.0,Uttar Pradesh,ETAWAH,Dr RAM SHANKAR KATHERIA,BJP,Lotus,MALE,SC,Post Graduate/Doctorate
0,0.0,35.0,11207526,2190246.0,455957,1725.0,457682,26.034480399999996,44.48649946,1757984.0,Uttar Pradesh,ETAWAH,KAMLESH KUMAR,SP,Bicycle,MALE,SC,Graduate
0,0.0,45.0,24398780,1900000.0,16460,110.0,16570,0.9425569290000001,1.610597087,1757984.0,Uttar Pradesh,ETAWAH,ASHOK KUMAR DOHARE,INC,Hand,MALE,SC,Graduate
1,1.0,64.0,31884642,11276478.0,528113,908.0,529021,29.03860774,48.64918799,1821785.0,Uttar Pradesh,FAIZABAD,LALLU SINGH,BJP,Lotus,MALE,GENERAL,Post Graduate/Doctorate
0,2.5,55.0,43920899,1560431.0,463187,357.0,463544,25.44449537,42.62787148,1821785.0,Uttar Pradesh,FAIZABAD,ANAND SEN,SP,Bicycle,MALE,GENERAL,scholl level
0,2.5,68.0,14459169,409256.0,53322,64.0,53386,2.930422635,4.909418624,1821785.0,Uttar Pradesh,FAIZABAD,NIRMAL KHATRI,INC,Hand,MALE,GENERAL,Post Graduate/Doctorate
1,0.0,62.0,219403654,15244926.875,910787,2435.0,913222,44.07833514,68.76014116,2071816.0,Haryana,FARIDABAD,KRISHAN PAL,BJP,Lotus,MALE,GENERAL,Graduate
0,1.0,62.0,120803457,0.0,274755,228.0,274983,13.27255895,20.70457117,2071816.0,Haryana,FARIDABAD,AVTAR SINGH BHADANA,INC,Hand,MALE,GENERAL,scholl level
0,0.0,43.0,69370850,2600000.0,86694,58.0,86752,4.1872444269999995,6.531905458,2071816.0,Haryana,FARIDABAD,MANDHIR MAAN,BSP,Elephant,MALE,GENERAL,scholl level
1,0.0,78.0,19793884,311043.0,417936,1129.0,419065,27.17722966,42.97036018,1541971.0,Punjab,FARIDKOT,Mohammad Sadique,INC,Hand,MALE,SC,scholl level
0,1.0,61.0,82957653,0.0,334674,1135.0,335809,21.77790633,34.43340217,1541971.0,Punjab,FARIDKOT,Gulzar Singh Ranike,SAD,Scales,MALE,SC,scholl level
0,0.0,78.0,15138283,3500000.0,114610,709.0,115319,7.47867502,11.824654800000001,1541971.0,Punjab,FARIDKOT,Prof. Sadhu Singh,AAP,Broom,MALE,SC,Post Graduate/Doctorate
0,0.0,61.0,7513896,1510708.0,43794,138.0,43932,2.8490808189999997,4.5047280569999995,1541971.0,Punjab,FARIDKOT,Master Baldev Singh,PUNEKP,Key,MALE,SC,scholl level
1,0.0,50.0,74964501,388246.0,567930,1950.0,569880,33.35391567,56.80389856,1708585.0,Uttar Pradesh,FARRUKHABAD,Mukesh Rajput,BJP,Lotus,MALE,GENERAL,Graduate
0,2.0,54.0,219403654,15244926.875,347714,464.0,348178,20.37814917,34.70532006,1708585.0,Uttar Pradesh,FARRUKHABAD,Manoj Agarwal,BSP,Elephant,MALE,GENERAL,Graduate
0,1.0,66.0,219403654,0.0,55143,115.0,55258,3.23413819,5.507948738,1708585.0,Uttar Pradesh,FARRUKHABAD,Salman Khurshid,INC,Hand,MALE,GENERAL,Post Graduate/Doctorate
1,0.0,65.0,32808836,0.0,410723,928.0,411651,27.39115594,41.70049262,1502861.0,Punjab,FATEHGARH SAHIB,AMAR SINGH,INC,Hand,MALE,SC,Post Graduate/Doctorate
0,1.0,66.0,40931745,15244926.875,316999,754.0,317753,21.14320619,32.18856904,1502861.0,Punjab,FATEHGARH SAHIB,DARBARA SINGH GURU,SAD,Scales,MALE,SC,Post Graduate/Doctorate
0,0.0,44.0,7689077,4479598.0,142072,202.0,142274,9.466876844,14.41244133,1502861.0,Punjab,FATEHGARH SAHIB,MANWINDER SINGH GIASPURA,LIP,Letter Box,MALE,SC,Post Graduate/Doctorate
0,0.0,35.0,5069771,0.0,62553,328.0,62881,4.18408622,6.369882927000001,1502861.0,Punjab,FATEHGARH SAHIB,BANDEEP SINGH,AAP,Broom,MALE,SC,scholl level
1,0.0,52.0,10667372,910148.0,563715,2325.0,566040,30.77455048,54.1930073,1839312.0,Uttar Pradesh,FATEHPUR,NIRANJAN JYOTI,BJP,Lotus,FEMALE,GENERAL,scholl level
0,0.0,62.0,74544921,4500729.0,366167,1668.0,367835,19.99851031,35.21674235,1839312.0,Uttar Pradesh,FATEHPUR,SUKHDEV PRASAD VERMA,BSP,Elephant,MALE,GENERAL,scholl level
0,2.5,63.0,219403654,15244926.875,65738,339.0,66077,3.5924845810000003,6.326251401,1839312.0,Uttar Pradesh,FATEHPUR,RAKESH SACHAN,INC,Hand,MALE,GENERAL,Post Graduate/Doctorate
1,2.5,52.0,14854247,356404.0,662794,3718.25,667147,38.81386077,64.24388036,1718837.0,Uttar Pradesh,FATEHPUR SIKRI,RAJKUMAR CHAHAR,BJP,Lotus,MALE,GENERAL,Graduate
0,2.5,68.0,182861705,12294927.0,170889,1193.0,172082,10.01153687,16.57088381,1718837.0,Uttar Pradesh,FATEHPUR SIKRI,RAJ BABBAR,INC,Hand,MALE,GENERAL,Graduate
0,2.5,44.0,13718806,0.0,167517,526.0,168043,9.776552401,16.18194249,1718837.0,Uttar Pradesh,FATEHPUR SIKRI,SHREEBHAGWAN SHARMA,BSP,Elephant,MALE,GENERAL,scholl level
1,0.0,68.0,42872395,0.0,494050,1769.0,495819,27.69149572,46.0552642,1790510.0,Uttar Pradesh,FIROZABAD,Dr. Chandra Sen Jadon,BJP,Lotus,MALE,GENERAL,Graduate
0,0.0,32.0,219403654,15244926.875,465686,1352.0,467038,26.0840766,43.38187621,1790510.0,Uttar Pradesh,FIROZABAD,Akshay Yadav,SP,Bicycle,MALE,GENERAL,Graduate
0,0.0,64.0,99833148,12918796.0,91651,218.0,91869,5.130884497,8.533458917,1790510.0,Uttar Pradesh,FIROZABAD,Shivpal Singh Yadav,PSPL,Key,MALE,GENERAL,Graduate
1,2.5,56.0,219403654,15244926.875,631100,2327.0,633427,39.138628499999996,54.00975954,1618419.0,Punjab,FIROZPUR,SUKHBIR SINGH BADAL,SAD,Scales,MALE,GENERAL,Post Graduate/Doctorate
0,0.0,56.0,85822451,11350390.0,432964,1613.0,434577,26.85194625,37.05462393,1618419.0,Punjab,FIROZPUR,SHER SINGH GHUBAYA,INC,Hand,MALE,SC,scholl level
0,0.0,49.0,6122270,200000.0,31240,632.0,31872,1.9693293269999999,2.7175965910000004,1618419.0,Punjab,FIROZPUR,HARJINDER SINGH KAKA SRAN,AAP,Broom,MALE,GENERAL,Graduate
0,2.0,54.0,2850000,0.0,25967,161.0,26128,1.614415056,2.227828933,1618419.0,Punjab,FIROZPUR,HANS RAJ GOLDEN,CPI(M),Ears of Corn And Sickle,MALE,GENERAL,scholl level
1,0.0,55.0,50136369,15244926.875,517722,2246.0,519968,32.88093964,45.46231904,1581366.0,Maharashtra,GADCHIROLI-CHIMUR,ASHOK MAHADEORAO NETE,BJP,Lotus,MALE,ST,scholl level
0,0.0,48.0,16211186,2153155.0,440386,2056.0,442442,27.97846925,38.68399471,1581366.0,Maharashtra,GADCHIROLI-CHIMUR,Dr. NAMDEO DALLUJI USENDI,INC,Hand,MALE,ST,Post Graduate/Doctorate
0,0.0,66.0,10709012,600000.0,110736,732.0,111468,7.048842583,9.745972403,1581366.0,Maharashtra,GADCHIROLI-CHIMUR,Dr. RAMESHKUMAR BABURAOJI GAJBE,VBA,Cup & Saucer,MALE,ST,Post Graduate/Doctorate
0,0.0,44.0,5010301,0.0,28006,98.0,28104,1.777197689,2.457214702,1581366.0,Maharashtra,GADCHIROLI-CHIMUR,HARICHANDRA NAGOJI MANGAM,BSP,Elephant,MALE,ST,scholl level
0,0.0,59.0,4892338,550000.0,16090,27.0,16117,1.01918215,1.409156325,1581366.0,Maharashtra,GADCHIROLI-CHIMUR,DEORAO MONBA NANNAWARE,APoI,Coat,MALE,ST,Graduate
1,2.5,54.0,219403654,4769587.0,889925,3718.25,894624,45.97784324,69.5758213,1945772.0,Gujarat,GANDHINAGAR,AMIT SHAH,BJP,Lotus,MALE,GENERAL,scholl level
0,0.0,61.0,120468223,15244926.875,334082,3528.0,337610,17.35095376,26.25627418,1945772.0,Gujarat,GANDHINAGAR,Dr. C. J. CHAVDA,INC,Hand,MALE,GENERAL,Graduate
1,0.0,48.0,21014362,3631287.0,892744,3718.25,897177,46.16328597,61.74291249,1943486.0,Rajasthan,GANGANAGAR,NIHAL CHAND,BJP,Lotus,MALE,SC,Graduate
0,0.0,63.0,8701890,4470443.0,487597,2602.0,490199,25.2226669,33.73505335,1943486.0,Rajasthan,GANGANAGAR,BHARAT RAM MEGHWAL,INC,Hand,MALE,SC,Graduate
0,0.0,74.0,8282084,0.0,18293,16.0,18309,0.9420700740000001,1.260008878,1943486.0,Rajasthan,GANGANAGAR,RAVTARAM,CPI(M),Ears of Corn And Sickle,MALE,SC,scholl level
1,0.0,55.0,15032657,3500000.0,487613,3718.25,506980,37.39353118,67.77608145,1355796.0,Uttarakhand,GARHWAL,Tirath Singh Rawat,BJP,Lotus,MALE,GENERAL,Post Graduate/Doctorate
0,0.0,50.0,79462193,5560112.0,202610,1701.0,204311,15.06944998,27.31350147,1355796.0,Uttarakhand,GARHWAL,Manish Khanduri,INC,Hand,MALE,GENERAL,Post Graduate/Doctorate
1,0.0,67.0,219403654,15244926.875,1007156,1780.0,1008936,46.25348241,57.19753961,2181319.0,Assam,GAUHATI,QUEEN OJA,BJP,Lotus,FEMALE,GENERAL,Graduate
0,0.0,52.0,162399812,15244926.875,662776,554.0,663330,30.40958246,37.60480739,2181319.0,Assam,GAUHATI,BOBBEETA SHARMA,INC,Hand,FEMALE,GENERAL,Post Graduate/Doctorate
